iter	RMSE
146	9.432453947
147	9.412906283
148	9.407864284
149	9.403136192
150	9.399808287
151	9.39327368
152	9.380356321
153	9.346495268
154	9.329705523
155	9.314617019
156	9.311602947
157	9.304904888
158	9.301358606
159	9.291111556
160	9.2770846
161	9.268508296
162	9.265872614
163	9.256679452
164	9.240769503
165	9.229482234
166	9.221692739
167	9.215923647
168	9.211643015
169	9.209146308
170	9.205230681
171	9.193723266
172	9.171367509
173	9.144709837
174	9.141558358
175	9.130950369
176	9.11137013
177	9.085432622
178	9.082925931
179	9.067692779
180	9.063945342
181	9.052793945
182	9.038083436
183	9.027895948
184	9.025224943
185	9.014765355
186	9.008290522
187	8.998349976
188	8.992840814
189	8.936829915
190	8.931728282
191	8.917418414
192	8.909431699
193	8.899833617
194	8.891356432
195	8.883372114
196	8.877422356
197	8.869876736
198	8.857544956
199	8.854219014
200	8.829529956
201	8.817293007
202	8.808494326
203	8.797490513
204	8.790247578
205	8.776940728
206	8.74205995
207	8.718283543
208	8.715609159
209	8.714114273
210	8.698421335
211	8.675831157
212	8.663006721
213	8.658466003
214	8.651033371
215	8.64102954
216	8.633116775
217	8.579346707
218	8.576694969
219	8.574542206
220	8.571064162
221	8.566735978
222	8.553375812
223	8.525357869
224	8.522731623
225	8.513253521
226	8.50237481
227	8.493366461
228	8.49185221
229	8.489827325
230	8.457568571
231	8.451791491
232	8.447605119
233	8.416284658
234	8.409498082
235	8.402534913
236	8.396634695
237	8.366931686
238	8.337273649
239	8.315168758
240	8.30564501
241	8.287650741
242	8.286210627
243	8.281859869
244	8.279039808
245	8.258873806
246	8.243561064
247	8.237978188
248	8.214529864
249	8.189463378
250	8.188076553
251	8.17468803
252	8.157792288
253	8.137351944
254	8.133342869
255	8.12974938
256	8.12827925
257	8.10761977
258	8.085547097
259	8.061221436
260	8.059841086
261	8.054970651
262	8.051724149
263	8.034232005
264	8.020466861
265	8.001381338
266	7.997668325
267	7.994115234
268	7.977985722
269	7.96510281
270	7.95866405
271	7.956137198
272	7.94720584
273	7.944927403
274	7.92278911
275	7.915452228
276	7.911897473
277	7.898612328
278	7.897333745
279	7.867880969
280	7.86571293
281	7.855046708
282	7.848198365
283	7.84661524
284	7.83918863
285	7.818018356
286	7.803336585
287	7.794280069
288	7.78885857
289	7.783255316
290	7.776642024
291	7.758198461
292	7.733235842
293	7.724410559
294	7.709785019
295	7.683705896
296	7.682302236
297	7.678047938
298	7.676809811
299	7.673715315
300	7.652344049
301	7.651155602
302	7.644029875
303	7.636586656
304	7.618066191
305	7.614635001
306	7.6057931
307	7.599072244
308	7.586816284
309	7.575658723
310	7.565863079
311	7.54701674
312	7.536852515
313	7.53486441
314	7.52539505
315	7.519452317
316	7.501602238
317	7.492921665
318	7.490692981
319	7.485810822
320	7.481033545
321	7.476279203
322	7.46877433
323	7.461737444
324	7.448957471
325	7.42742812
326	7.421646655
327	7.416965981
328	7.410462776
329	7.406361109
330	7.397577811
331	7.391230544
332	7.389497719
333	7.373150162
334	7.365428011
335	7.351456868
336	7.350036688
337	7.340672783
338	7.33679628
339	7.33122297
340	7.327532057
341	7.323568881
342	7.308234369
343	7.304357105
344	7.301495409
345	7.294514866
346	7.291008629
347	7.28280921
348	7.277882237
349	7.261680132
350	7.256556077
351	7.248301211
352	7.24641203
353	7.237240871
354	7.234014875
355	7.229758101
356	7.226470683
357	7.223572645
358	7.221359753
359	7.219349319
360	7.214722018
361	7.19785111
362	7.194552919
363	7.190179602
364	7.183643793
365	7.181054464
366	7.176393766
367	7.169979248
368	7.162701985
369	7.157765204
370	7.154513938
371	7.151336394
372	7.147229815
373	7.144112705
374	7.127839625
375	7.125660862
376	7.119853531
377	7.117102187
378	7.109932964
379	7.105815253
380	7.101973741
381	7.099701793
382	7.096239124
383	7.09570729
384	7.092059405
385	7.078275654
386	7.070673858
387	7.060240013
388	7.055642434
389	7.045372143
390	7.042165909
391	7.040942586
392	7.034878925
393	7.027160774
394	7.024718136
395	7.022620219
396	7.019144857
397	7.005367594
398	7.003031203
399	6.999375898
400	6.997378579
401	6.994444218
402	6.989099637
403	6.985687449
404	6.982659603
405	6.979271077
406	6.974506869
407	6.961622035
408	6.957852411
409	6.954094984
410	6.941212385
411	6.928883089
412	6.920296948
413	6.914092505
414	6.910001798
415	6.906151327
416	6.903544578
417	6.894280059
418	6.886761994
419	6.881215982
420	6.879081344
421	6.876078813
422	6.862169785
423	6.855822676
424	6.85317713
425	6.847234713
426	6.845334875
427	6.832608494
428	6.816810859
429	6.812307852
430	6.803197092
431	6.794221
432	6.787326557
433	6.782316008
434	6.77734781
435	6.773530659
436	6.768996951
437	6.759498926
438	6.753393488
439	6.744091342
440	6.736130932
441	6.73124676
442	6.719809166
443	6.716749586
444	6.714430264
445	6.712048757
446	6.709815306
447	6.707239581
448	6.705526592
449	6.70272858
450	6.699269068
451	6.695054016
452	6.68745867
453	6.684434929
454	6.682888866
455	6.672399818
456	6.664325777
457	6.657859224
458	6.651977541
459	6.642584697
460	6.63985281
461	6.637047131
462	6.628612946
463	6.622743409
464	6.615226161
465	6.608003846
466	6.605551025
467	6.594617484
468	6.588975467
469	6.581224985
470	6.579966409
471	6.576472125
472	6.570655033
473	6.565203656
474	6.560034509
475	6.549275391
476	6.543081563
477	6.537947854
478	6.53530966
479	6.531084019
480	6.523599133
481	6.521787477
482	6.519292532
483	6.518753215
484	6.512961218
485	6.502664483
486	6.491212056
487	6.480579312
488	6.478560623
489	6.476440664
490	6.473007978
491	6.46661887
492	6.459666062
493	6.451243792
494	6.450161473
495	6.448413428
496	6.446084915
497	6.44498941
498	6.442172815
499	6.43987721
